breed,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs,good in apartment,good for novice owner,independant,prefers cold weather,prefers hot weather,kid freindly,shedding,grooming,health,size,trainabilty,intelligence,energy
,9,12,8,12,5,4,1,3,3,1,1,3,4,1,2,4,4
,25,27,50,60,5,3,2,5,5,5,4,1,3,4,1,4,5
,26,28,80,120,2,2,1,5,2,1,5,1,4,4,2,3,4
,na,na,na,na,1,1,1,5,2,3,5,1,4,4,4,4,5
,22,25,65,70,1,2,1,4,4,5,3,5,5,3,2,3,5
,17,19,40,50,2,2,2,2,3,4,2,4,3,3,4,4,3
,15,18,25,45,2,2,1,2,4,5,3,3,3,3,4,3,5
,17,20,35,45,2,1,3,4,4,3,3,4,5,3,5,5,5
,18,23,40,60,1,2,2,4,4,4,3,1,2,3,5,5,5
,10,10,10,14,5,3,2,3,4,3,1,5,5,1,3,4,5
,17,17,20,22,5,4,4,1,4,5,1,5,2,2,1,4,5
,14,14,40,50,5,4,3,2,2,5,4,5,1,3,2,4,2
,13,16,18,30,4,3,1,2,4,5,3,4,1,2,1,4,4
,20,22,40,60,3,4,2,4,3,4,4,2,3,3,5,4,4
,15,16,18,23,4,4,3,4,3,4,5,1,4,3,3,5,4
,22,26,60,65,1,3,3,4,4,4,2,5,4,4,5,5,5
,22,26,60,75,3,3,3,4,3,5,5,3,3,4,5,5,5
,22,26,60,75,3,3,1,4,3,3,4,3,3,4,5,5,5
,23,27,85,110,1,2,1,5,1,5,5,3,1,5,4,4,4
,9.5,11.5,10,18,5,5,1,3,4,4,2,1,4,2,5,4,5
,25,29,80,140,3,2,2,4,3,5,3,2,3,5,4,4,3
,24,26,80,120,1,2,2,3,3,5,4,1,3,4,3,4,5
,19,21,40,40,2,2,1,4,4,4,3,3,2,3,5,5,5
,12,15,12,15,4,3,1,4,3,4,3,2,4,2,3,5,4
,26,28,70,100,5,3,1,4,3,3,5,4,4,5,3,4,2
,14,15,15,25,5,4,3,3,2,5,2,5,4,2,4,4,4
,21,25,65,70,4,3,1,2,1,4,4,5,2,3,4,4,5
,23,27,74,76,3,3,3,4,3,5,1,1,3,4,4,4,4
,17,21,30,40,1,3,1,4,3,5,3,3,4,3,3,5,5
,7,8,6,12,5,2,1,1,2,4,3,3,3,1,3,4,5
,21,22,50,70,4,3,2,1,4,5,3,5,4,2,5,4,4
,25,27,100,130,3,2,2,4,2,5,1,5,2,5,3,3,2
Cairn Terrier,9,10,14,14,5,4,1,4,4,5,3,5,4,1,2,5,5
Canaan Dog,19,24,35,55,4,2,3,3,5,2,4,5,5,3,5,4,4
Cardigan Welsh Corgi,10,12,25,35,4,4,3,4,3,4,4,3,4,2,4,5,3
Cavalier King Charles Spaniel,10,15,15,20,5,5,1,3,2,5,3,4,4,2,4,4,3
Chesapeake Bay Retriever,21,26,55,75,1,1,2,4,4,3,5,5,4,3,3,4,5
Chihuahua,6,9,2,5,5,4,1,1,2,5,2,5,2,1,4,4,3
Chinese Crested,11,13,5,12,5,3,1,1,3,5,2,2,5,2,4,3,2
